City_ID,City Name,Latitude,Longitude,Temperature,Cloudiness,Humidity,Wind Speed,Country
322,chuy,-33.6971,-53.4616,64.74,28,88,5.84,UY
323,camacha,33.0833,-16.3333,59.0,40,63,9.22,PT
324,khorixas,-20.3667,14.9667,64.9,33,38,2.17,NA
325,vuktyl,63.8567,57.3094,-20.78,100,88,2.28,RU
326,rio grande,-32.035,-52.0986,64.99,0,97,6.73,BR
327,lerik,38.7726,48.4128,37.4,40,100,3.44,AZ
328,todos santos,23.45,-110.2167,64.0,100,83,3.0,MX
329,margate,51.3813,1.3862,45.0,100,80,1.99,GB
330,ilulissat,69.2167,-51.1,17.6,90,73,4.65,GL
331,sao joao da barra,-21.6403,-41.0511,74.17,100,89,5.08,BR
332,chapais,49.7834,-74.8492,17.6,1,93,6.91,CA
333,batagay,67.6333,134.6333,8.08,100,92,7.16,RU
334,huazhou,21.6333,110.5833,78.49,36,57,15.5,CN
335,beni,0.5,29.4667,63.23,0,89,4.9,CD
336,ondjiva,-17.0667,15.7333,67.26,66,57,1.01,AO
337,cusuna,15.85,-85.2333,73.58,100,89,8.12,HN
338,lufilufi,-13.8745,-171.5986,84.0,75,100,8.05,WS
339,itoman,26.1247,127.6694,73.4,20,64,20.71,JP
340,charters towers,-20.1,146.2667,89.2,0,37,12.77,AU
341,blandiana,45.9667,23.3833,36.0,0,69,3.44,RO
342,pacific grove,36.6177,-121.9166,50.0,90,76,10.36,US
343,pangai,-19.8,-174.35,80.6,20,65,5.75,TO
344,guaymas,27.9333,-110.9,66.0,100,48,1.01,MX
345,kruisfontein,-34.0033,24.7314,66.78,2,51,7.2,ZA
346,karratha,-20.7377,116.8463,94.19,0,35,7.11,AU
347,praia,14.9215,-23.5087,68.0,20,68,19.57,CV
348,lang suan,9.9456,99.0785,91.4,20,52,6.91,TH
349,sioux lookout,50.1001,-91.917,48.2,90,61,6.91,CA
350,nerchinskiy zavod,51.3088,119.61,20.73,5,94,2.75,RU
351,barentu,15.1139,37.5928,64.67,0,63,2.62,ER
352,ust-kut,56.7938,105.7672,22.23,97,92,11.01,RU
353,kampot,10.6167,104.1833,87.8,20,58,14.97,KH
